Time_Sec,Fluorescence
0,6585.65
0.5,6581.81
1,6578.39
1.5,6569.84
2,6553.7
2.5,6555.8
3,6565.26
3.5,6568.59
4,6572.38
4.5,6565.78
5,6571
5.5,6592.56
6,6595.96
6.5,6587.93
7,6586.3
7.5,6585.21
8,6585.85
8.5,6589.72
9,6586.17
9.5,6584.4
10,6584.49
10.5,6587.98
11,6593.76
11.5,6592.24
12,6588.66
12.5,6580.8
13,6583.04
13.5,6587.31
14,6581.29
14.5,6581.9
15,6580.31
15.5,6577.98
16,6585.56
16.5,6587.85
17,6596.93
17.5,6596.18
18,6581.87
18.5,6583.91
19,6579.87
19.5,6567.3
20,6571.43
20.5,6583.22
21,6586.63
21.5,6585.79
22,6585.53
22.5,6581.85
23,6581.08
23.5,6582.81
24,6573.38
24.5,6575.1
25,6581.39
25.5,6576.1
26,6571.35
26.5,6567.21
27,6568.87
27.5,6576.96
28,6584.76
28.5,6587.99
29,6604.01
29.5,6613.18
30,6607.54
30.5,6597.55
31,6589.49
31.5,6584.82
32,6574.31
32.5,6569.13
33,6566.37
33.5,6565.67
34,6568.81
34.5,6568.78
35,6563.02
35.5,6558.4
36,6559.37
36.5,6559.4
37,6561.67
37.5,6564.7
38,6564.29
38.5,6564.81
39,6562.48
39.5,6551.35
40,6538.76
40.5,6531.07
41,6524.32
41.5,6529.03
42,6535.85
42.5,6546.08
43,6552.13
43.5,6545.67
44,6541.01
44.5,6538.12
45,6538.97
45.5,6540.59
46,6549.92
46.5,6557.3
47,6556.86
47.5,6561.07
48,6563.06
48.5,6557.07
49,6550.13
49.5,6549.62
50,6560.77
50.5,6565.36
51,6560.76
51.5,6560.67
52,6557.42
52.5,6556.59
53,6564.39
53.5,6565.48
54,6566.26
54.5,6571.95
55,6571.97
55.5,6567.18
56,6560.93
56.5,6562.14
57,6562.28
57.5,6551.91
58,6546.63
58.5,6550.25
59,6537.86
59.5,6521.84
60,6522.41
60.5,6534.96
61,6539.98
61.5,6541.3
62,6552.1
62.5,6553.71
63,6555.06
63.5,6562.89
64,6568.17
64.5,6570.78
65,6571.47
65.5,6563.11
66,6559.54
66.5,6566.96
67,6566.37
67.5,6559.89
68,6559.03
68.5,6570.84
69,6583.43
69.5,6582.64
70,6577.78
70.5,6567.19
71,6563.82
71.5,6558.48
72,6549.37
72.5,6558.42
73,6567.37
73.5,6561.32
74,6549.57
74.5,6541.84
75,6541.38
75.5,6550.18
76,6556.33
76.5,6553.26
77,6542.12
77.5,6532.61
78,6527.98
78.5,6532.34
79,6538.28
79.5,6537.21
80,6534.27
80.5,6535.05
81,6538.35
81.5,6539.54
82,6548.11
82.5,6556.96
83,6556.61
83.5,6555.02
84,6556.57
84.5,6564.87
85,6571.08
85.5,6577.14
86,6576.45
86.5,6561.53
87,6554.88
87.5,6555.03
88,6549.91
88.5,6540.63
89,6530.08
89.5,6527.57
90,6531.05
90.5,6533.89
91,6534.35
91.5,6538.19
92,6539.25
92.5,6530.81
93,6524.56
93.5,6520.81
94,6520.2
94.5,6523.46
95,6520.75
95.5,6506.17
96,6502.72
96.5,6503.52
97,6502.2
97.5,6505.71
98,6508.9
98.5,6514.38
99,6516.48
99.5,6517.76
100,6521.07
100.5,6520.86
101,6514.77
101.5,6504.42
102,6498.94
102.5,6502.15
103,6496.78
103.5,6483.12
104,6476.23
104.5,6474.32
105,6472.71
105.5,6469.44
106,6473.3
106.5,6479
107,6474.47
107.5,6478.66
108,6487.44
108.5,6487.46
109,6486.57
109.5,6487.37
110,6478.25
110.5,6474.69
111,6480.15
111.5,6480.19
112,6478.57
112.5,6470.18
113,6464.69
113.5,6468.56
114,6469.11
114.5,6468.45
115,6478.65
115.5,6485.53
116,6485.41
116.5,6486.47
117,6491.67
117.5,6495.5
118,6491.83
118.5,6487.98
119,6495.39
119.5,6511.59
120,6515.81
120.5,6508.56
121,6508.95
121.5,6514.64
122,6515.61
122.5,6511.3
123,6508.2
123.5,6507.71
124,6507.21
124.5,6514.33
125,6516.58
125.5,6513.28
126,6514.48
126.5,6517.82
127,6526.04
127.5,6527.68
128,6529.56
128.5,6526.51
129,6521.61
129.5,6521.98
130,6524.41
130.5,6529.34
131,6521.44
131.5,6514.51
132,6522.27
132.5,6526.3
133,6521.38
133.5,6520.11
134,6518.31
134.5,6515.81
135,6517.49
135.5,6518.17
136,6521.66
136.5,6530.77
137,6534.08
137.5,6521.09
138,6512.08
138.5,6514.22
139,6518
139.5,6526.88
140,6528.55
140.5,6530.62
141,6533.66
141.5,6532.26
142,6532.82
142.5,6537.57
143,6537.51
143.5,6526.41
144,6519.4
144.5,6518.71
145,6524.47
145.5,6529.01
146,6523.7
146.5,6520.2
147,6520.45
147.5,6516.34
148,6513.4
148.5,6515.15
149,6508.67
149.5,6505.37
150,6507.29
150.5,6507.5
151,6506.46
151.5,6503.52
152,6497.04
152.5,6496.75
153,6500.99
153.5,6501.63
154,6503.02
154.5,6500.98
155,6497.43
155.5,6496.81
156,6496.75
156.5,6499.26
157,6502.64
157.5,6505.83
158,6509.18
158.5,6511.52
159,6517.35
159.5,6514.29
160,6505.34
160.5,6504.08
161,6508.57
161.5,6510.44
162,6510.6
162.5,6512.67
163,6518.38
163.5,6507.71
164,6485.87
164.5,6492.6
165,6501.98
165.5,6497.25
166,6493.89
166.5,6490.51
167,6493.67
167.5,6495.72
168,6491.85
168.5,6487.01
169,6482.49
169.5,6479.46
170,6480.7
170.5,6482.36
171,6493.46
171.5,6498.44
172,6491.06
172.5,6492.41
173,6493.66
173.5,6491.65
174,6479.51
174.5,6463.32
175,6455.58
175.5,6456.86
176,6458.14
176.5,6451.57
177,6440.45
177.5,6442.76
178,6448.08
178.5,6449.87
179,6463.3
179.5,6477.12
180,6483.82
180.5,6489.28
181,6495.93
181.5,6498.54
182,6502.92
182.5,6511.43
183,6515.88
183.5,6515.24
184,6503.31
184.5,6493.55
185,6496.68
185.5,6500.18
186,6493.55
186.5,6484.12
187,6486.05
187.5,6479.71
188,6477
188.5,6480.18
189,6476.45
189.5,6474.36
190,6476.03
190.5,6481.81
191,6486.02
191.5,6488.86
192,6487.68
192.5,6483.1
193,6488.14
193.5,6501.46
194,6509.84
194.5,6514.85
195,6508.65
195.5,6494.22
196,6490.16
196.5,6498.25
197,6499.84
197.5,6493.12
198,6488.82
198.5,6491.78
199,6491
199.5,6488.07
200,6489.41
200.5,6484.52
201,6479.76
201.5,6475.24
202,6472.3
202.5,6472.19
203,6473.32
203.5,6472.44
204,6463.29
204.5,6458.17
205,6456.33
205.5,6439.05
206,6436.82
206.5,6444.65
207,6447.11
207.5,6454.73
208,6454.03
208.5,6452.32
209,6454.87
209.5,6448.41
210,6439.36
210.5,6439.59
211,6447.81
211.5,6451.65
212,6449.15
212.5,6448.2
213,6444.89
213.5,6446.71
214,6454.02
214.5,6461.91
215,6470.14
215.5,6475.16
216,6476.44
216.5,6471.5
217,6467.06
217.5,6469.28
218,6468.59
218.5,6466.32
219,6468.06
219.5,6460.77
220,6457.93
220.5,6468.82
221,6473.22
221.5,6473.47
222,6472.08
222.5,6472.27
223,6464.86
223.5,6453.9
224,6446.75
224.5,6454.91
225,6470.56
225.5,6466.68
226,6458.42
226.5,6454.32
227,6453.97
227.5,6458.21
228,6468.37
228.5,6471.91
229,6468.14
229.5,6465.27
230,6449.05
230.5,6439.64
231,6440.89
231.5,6429.75
232,6428.39
232.5,6426.06
233,6414.41
233.5,6407.57
234,6410
234.5,6422.34
235,6428.26
235.5,6430.7
236,6434.1
236.5,6432.3
237,6424.73
237.5,6423.75
238,6424.14
238.5,6420.19
239,6417.16
239.5,6408.75
240,6405.04
240.5,6409.14
241,6410.79
241.5,6415.84
242,6419.72
242.5,6414.68
243,6412.36
243.5,6413.32
244,6410.77
244.5,6406
245,6400.62
245.5,6400.42
246,6405.82
246.5,6407.69
247,6407.97
247.5,6406.03
248,6403.85
248.5,6407.59
249,6405.37
249.5,6407
250,6412.14
250.5,6412.6
251,6410.42
251.5,6408.88
252,6407.57
252.5,6407.99
253,6411.31
253.5,6415.69
254,6416.09
254.5,6407.37
255,6405.5
255.5,6406.59
256,6408.57
256.5,6409.78
257,6410.08
257.5,6413.15
258,6415.5
258.5,6412.62
259,6404.11
259.5,6393.88
260,6388.15
260.5,6394.35
261,6406.5
261.5,6412.23
262,6414.29
262.5,6415.86
263,6416.09
263.5,6420.54
264,6421.86
264.5,6425.32
265,6421.66
265.5,6409.84
266,6414.63
266.5,6430.11
267,6435.33
267.5,6433.38
268,6440.74
268.5,6449.45
269,6449.84
269.5,6448.83
270,6444.13
270.5,6434.33
271,6430.8
271.5,6422.75
272,6414.7
272.5,6404.55
273,6393.13
273.5,6395.8
274,6390.62
274.5,6382.54
275,6386.49
275.5,6390.81
276,6392.96
276.5,6399.12
277,6403.12
277.5,6411.59
278,6415.89
278.5,6407.33
279,6401.17
279.5,6397.83
280,6400.21
280.5,6398.25
281,6400.12
281.5,6407.58
282,6406.28
282.5,6416.57
283,6427.68
283.5,6424.68
284,6417.31
284.5,6412.13
285,6406.94
285.5,6404.14
286,6401.1
286.5,6395.91
287,6400.52
287.5,6407.42
288,6409.45
288.5,6411.01
289,6416.55
289.5,6413.58
290,6407.11
290.5,6409.92
291,6408.86
291.5,6408.56
292,6413.96
292.5,6413.94
293,6417.14
293.5,6423.96
294,6405.16
294.5,6385.76
295,6393.22
295.5,6401.17
296,6406.9
296.5,6402.09
297,6393.64
297.5,6388.98
298,6393.12
298.5,6399.14
299,6399.39
299.5,6399.32
300,6398.12
300.5,6400.96
301,6404.98
301.5,6401.34
302,6398.59
302.5,6405.71
303,6398.86
303.5,6396.6
304,6396.84
304.5,6387.23
305,6394.87
305.5,6404.79
306,6403.46
306.5,6398.2
307,6388.92
307.5,6383.43
308,6388.4
308.5,6389.35
309,6390.5
309.5,6389.98
310,6385.85
310.5,6385.72
311,6385.33
311.5,6385
312,6379.42
312.5,6375.39
313,6374.77
313.5,6375.44
314,6374.54
314.5,6374.5
315,6373.44
315.5,6369.36
316,6369.12
316.5,6375.44
317,6390.22
317.5,6407.59
318,6414.08
318.5,6411.28
319,6411.7
319.5,6413.31
320,6408.16
320.5,6412.19
321,6422.65
321.5,6423.43
322,6419.49
322.5,6411.9
323,6402.33
323.5,6396.46
324,6399.78
324.5,6397.29
325,6400.92
325.5,6404.14
326,6398.28
326.5,6404.26
327,6412.61
327.5,6425.86
328,6425.88
328.5,6417.37
329,6414.47
329.5,6411.8
330,6403.88
330.5,6399.15
331,6394.31
331.5,6384.2
332,6378.94
332.5,6376.34
333,6380.97
333.5,6389.3
334,6392.51
334.5,6391.06
335,6392.39
335.5,6392.53
336,6392.63
336.5,6393.34
337,6396.67
337.5,6392.88
338,6385.59
338.5,6385.82
339,6385.32
339.5,6374.27
340,6363.63
340.5,6365.49
341,6376.97
341.5,6370.77
342,6356.23
342.5,6359.4
343,6360.75
343.5,6352.51
344,6359.44
344.5,6375.81
345,6379.06
345.5,6377.45
346,6379.68
346.5,6386.58
347,6383.26
347.5,6375.62
348,6386.05
348.5,6400.94
349,6408.58
349.5,6411.61
350,6412.73
350.5,6414.99
351,6417.41
351.5,6412.34
352,6400.79
352.5,6393.61
353,6392.14
353.5,6387.76
354,6381.42
354.5,6384.64
355,6396.16
355.5,6403.67
356,6401.6
356.5,6399.76
357,6395.55
357.5,6389.83
358,6385.26
358.5,6384.77
359,6382.54
359.5,6386.7
360,6393.03
360.5,6392.5
361,6394.25
361.5,6398.73
362,6401.67
362.5,6392.11
363,6389.87
363.5,6389.68
364,6391.27
364.5,6403.2
365,6402.98
365.5,6399.3
366,6399.19
366.5,6395.99
367,6395.07
367.5,6399.53
368,6404.07
368.5,6406.3
369,6406.69
369.5,6408.06
370,6412.51
370.5,6411.45
371,6402.43
371.5,6396.25
372,6388.63
372.5,6386.34
373,6386.29
373.5,6379.45
374,6376.84
374.5,6385.29
375,6385.87
375.5,6372.69
376,6368.62
376.5,6369.99
377,6367.25
377.5,6363.58
378,6358.86
378.5,6364.21
379,6369.12
379.5,6371.52
380,6375
380.5,6372.02
381,6382.51
381.5,6385.28
382,6379.06
382.5,6381.9
383,6378.34
383.5,6370.3
384,6372.11
384.5,6381.34
385,6391.47
385.5,6394.93
386,6398.13
386.5,6398.54
387,6401.06
387.5,6406.11
388,6397.68
388.5,6387.81
389,6383.22
389.5,6377.88
390,6373.76
390.5,6375.28
391,6373.83
391.5,6373.35
392,6364.17
392.5,6353.91
393,6357.03
393.5,6358.27
394,6355.17
394.5,6353.23
395,6352.16
395.5,6349.51
396,6352.95
396.5,6354.14
397,6345.81
397.5,6341.79
398,6347.7
398.5,6361.23
399,6360.04
399.5,6353.48
400,6353.28
400.5,6350.05
401,6352.31
401.5,6352.69
402,6348.28
402.5,6350.35
403,6350.55
403.5,6350.83
404,6354.84
404.5,6356.11
405,6354.5
405.5,6353.63
406,6351.76
406.5,6352.7
407,6353.21
407.5,6352.69
408,6353.43
408.5,6348.67
409,6350.52
409.5,6349.88
410,6348.14
410.5,6358.44
411,6368.88
411.5,6364.83
412,6359.27
412.5,6354.49
413,6353.13
413.5,6364.42
414,6371.07
414.5,6368.38
415,6367.92
415.5,6371.83
416,6374.17
416.5,6368.82
417,6357.8
417.5,6362.96
418,6368.53
418.5,6356.96
419,6346.19
419.5,6351.43
420,6362.52
420.5,6366.44
421,6360.64
421.5,6352.62
422,6357.93
422.5,6363.33
423,6364.16
423.5,6360.55
424,6353.04
424.5,6354.67
425,6364
425.5,6376.6
426,6387.79
426.5,6387.63
427,6385.78
427.5,6385.51
428,6380.24
428.5,6377.9
429,6379.08
429.5,6379.24
430,6383.15
430.5,6389.26
431,6390.59
431.5,6383.33
432,6375.52
432.5,6372.22
433,6376.97
433.5,6381.95
434,6376.03
434.5,6377.2
435,6385.83
435.5,6389.95
436,6387.86
436.5,6389.08
437,6395.55
437.5,6396.82
438,6394.26
438.5,6387.28
439,6379.91
439.5,6376.67
440,6373.97
440.5,6378.08
441,6377.22
441.5,6366.44
442,6373.93
442.5,6386.05
443,6383.66
443.5,6379.32
444,6384.25
444.5,6386.22
445,6384.36
445.5,6383.03
446,6384.75
446.5,6385.62
447,6389.8
447.5,6393.82
448,6388.19
448.5,6379.72
449,6371.84
449.5,6373.15
450,6384.24
450.5,6390.65
451,6373.27
451.5,6364.92
452,6367.85
452.5,6367.93
453,6374.73
453.5,6377.55
454,6368.76
454.5,6355.78
455,6349.66
