Time_Sec,Fluorescence
455.5,6347.44
456,6344.99
456.5,6337.39
457,6330.75
457.5,6333.27
458,6330.3
458.5,6326.75
459,6323.84
459.5,6320.54
460,6321.72
460.5,6328.71
461,6341.03
461.5,6335.27
462,6320.97
462.5,6320.21
463,6321.75
463.5,6322.66
464,6328.08
464.5,6325.8
465,6324.22
465.5,6332.9
466,6341.19
466.5,6334.4
467,6326.13
467.5,6336.48
468,6345.95
468.5,6346.53
469,6337.46
469.5,6328.98
470,6330.63
470.5,6330.58
471,6325.79
471.5,6316.64
472,6312.76
472.5,6320.93
473,6328.4
473.5,6325.99
474,6324.58
474.5,6328.76
475,6327.05
475.5,6331.8
476,6332.76
476.5,6320.88
477,6321.51
477.5,6324.21
478,6321.66
478.5,6314.08
479,6301.32
479.5,6295.48
480,6296.75
480.5,6295.5
481,6294.19
481.5,6293.99
482,6293.68
482.5,6295.15
483,6300.41
483.5,6316.76
484,6325.83
484.5,6329.17
485,6339.54
485.5,6335.23
486,6329.17
486.5,6326
487,6318.61
487.5,6317.82
488,6322.31
488.5,6318.63
489,6315.04
489.5,6304.83
490,6293.02
490.5,6300.02
491,6308.73
491.5,6314.89
492,6317.38
492.5,6316.14
493,6319.9
493.5,6317.39
494,6302.45
494.5,6298.99
495,6300.14
495.5,6299.08
496,6299.9
496.5,6294.64
497,6291.79
497.5,6290.63
498,6293.89
498.5,6299.07
499,6297.22
499.5,6292.09
500,6282.53
500.5,6279.95
501,6286.13
501.5,6288.59
502,6290.06
502.5,6291.49
503,6282.84
503.5,6291.33
504,6305.33
504.5,6302.67
505,6299.55
505.5,6297.83
506,6293.72
506.5,6285.72
507,6287.25
507.5,6286.2
508,6291.74
508.5,6306.29
509,6313.85
509.5,6329.67
510,6331.48
510.5,6324.17
511,6318.57
511.5,6305.91
512,6296.35
512.5,6285.43
513,6277.98
513.5,6275.53
514,6279.74
514.5,6278.9
515,6269.22
515.5,6263.16
516,6261.3
516.5,6260.04
517,6266.81
517.5,6274.32
518,6281.9
518.5,6291.37
519,6296.15
519.5,6297.72
520,6297.64
520.5,6301.54
521,6302.6
521.5,6301.57
522,6303.18
522.5,6305.13
523,6304.96
523.5,6305.23
524,6310.05
524.5,6312.01
525,6307.07
525.5,6309.7
526,6309.09
526.5,6305.61
527,6313.36
527.5,6325.2
528,6339.86
528.5,6346.18
529,6338.5
529.5,6330.11
530,6333.97
530.5,6339.07
531,6340.6
531.5,6333.42
532,6321.71
532.5,6314.74
533,6305.07
533.5,6303.6
534,6309.37
534.5,6309.81
535,6303.94
535.5,6302.86
536,6309.63
536.5,6315.8
537,6313.83
537.5,6315.45
538,6327.78
538.5,6337.07
539,6342.89
539.5,6345.23
540,6342.78
540.5,6347.23
541,6354.36
541.5,6345.99
542,6333.66
542.5,6331.93
543,6333.18
543.5,6330.36
544,6334.45
544.5,6340.96
545,6341.21
545.5,6340.96
546,6342.24
546.5,6337.62
547,6333.17
547.5,6335.06
548,6336.07
548.5,6338.38
549,6350.2
549.5,6364.08
550,6359.57
550.5,6347.55
551,6342.67
551.5,6343.01
552,6342.96
552.5,6341.92
553,6336.98
553.5,6330.17
554,6326.8
554.5,6326.38
555,6321.32
555.5,6325.35
556,6327.9
556.5,6320.48
557,6319.32
557.5,6319
558,6325.4
558.5,6334.91
559,6341.11
559.5,6348.08
560,6348.47
560.5,6348.14
561,6348.07
561.5,6345.92
562,6345.57
562.5,6344.13
563,6348.92
563.5,6352.62
564,6346.93
564.5,6331.11
565,6314.68
565.5,6312.85
566,6314.38
566.5,6312.3
567,6321.04
567.5,6326.23
568,6323.85
568.5,6327.92
569,6328.12
569.5,6322.13
570,6316.89
570.5,6314.59
571,6314.82
571.5,6312.89
572,6309.97
572.5,6305.79
573,6312.75
573.5,6325.86
574,6331.22
574.5,6330.58
575,6327.2
575.5,6326.08
576,6328.96
576.5,6333.54
577,6325.9
577.5,6320.38
578,6327.91
578.5,6327.09
579,6320.35
579.5,6322.67
580,6327.29
580.5,6330.02
581,6328.45
581.5,6319.33
582,6313.19
582.5,6317.24
583,6320.91
583.5,6324.7
584,6329.94
584.5,6332.69
585,6332.05
585.5,6329.51
586,6332
586.5,6333.51
587,6323.79
587.5,6324.55
588,6317.41
588.5,6308.6
589,6308.16
589.5,6300.39
590,6299.11
590.5,6303.13
591,6309.04
591.5,6311.81
592,6304.84
592.5,6302.9
593,6309.49
593.5,6313.24
594,6320.58
594.5,6325.97
595,6330.38
595.5,6328.06
596,6319.77
596.5,6322.3
597,6321.83
597.5,6314.83
598,6313.54
598.5,6316.81
599,6322.55
599.5,6320.39
600,6312.44
