Time_Sec,Fluorescence
199.5,4488.59
200,4490.25
200.5,4488.04
201,4481.83
201.5,4476.56
202,4471.05
202.5,4470.45
203,4469.42
203.5,4465.24
204,4464.99
204.5,4469.51
205,4473.26
205.5,4477.01
206,4483.58
206.5,4487.18
207,4487.3
207.5,4489.4
208,4487.77
208.5,4480.97
209,4479.8
209.5,4480.35
210,4484.04
210.5,4492.16
211,4494.8
211.5,4494
212,4487.46
212.5,4482.78
213,4484.92
213.5,4483.15
214,4482.93
214.5,4481.23
215,4473.07
215.5,4465.14
216,4462
216.5,4472.14
217,4483.25
217.5,4486.57
218,4487.85
218.5,4490.58
219,4496.41
219.5,4502.63
220,4504
220.5,4499.61
221,4494.89
221.5,4494.87
222,4500.96
222.5,4509.13
223,4517.15
223.5,4517.63
224,4504.61
224.5,4496.61
225,4501.44
225.5,4500.28
226,4492.08
226.5,4493.11
227,4496.82
227.5,4493.18
228,4498.7
228.5,4508.73
229,4507
229.5,4501.05
230,4497.94
230.5,4497.32
231,4495.62
231.5,4498.6
232,4498.69
232.5,4494.31
233,4499.04
233.5,4501.76
234,4507.41
234.5,4514.45
235,4516.09
235.5,4516.28
236,4512.25
236.5,4515.1
237,4521.95
237.5,4518.06
238,4507.83
238.5,4504.56
239,4504.64
239.5,4505.04
240,4503.08
240.5,4497.85
241,4494.54
241.5,4494.03
242,4500.31
242.5,4504.25
243,4500.63
243.5,4499.76
244,4503.47
244.5,4503.44
245,4496.66
245.5,4494.59
246,4494.69
246.5,4493.75
247,4496.15
247.5,4497.62
248,4500.88
248.5,4501.23
249,4499.74
249.5,4497.71
250,4489.9
250.5,4488.58
251,4491
251.5,4489.77
252,4498.4
252.5,4503.96
253,4496.29
253.5,4491.42
254,4492.69
254.5,4494.74
255,4492.97
255.5,4492.35
256,4498.34
256.5,4497.59
257,4492.18
257.5,4493.84
258,4497.61
258.5,4499.99
259,4498.87
259.5,4500.61
260,4502.61
260.5,4504.97
261,4507.87
261.5,4506.26
262,4502.62
262.5,4497.33
263,4497.34
263.5,4500.26
264,4500.37
264.5,4498.45
265,4492.76
265.5,4488.56
266,4491.09
266.5,4491.88
267,4487.31
267.5,4477.79
268,4474.05
268.5,4478.32
269,4481.16
269.5,4484.81
270,4484.19
270.5,4488.73
271,4500.36
271.5,4507.7
272,4512.25
272.5,4510.69
273,4511.17
273.5,4515.32
274,4516.92
274.5,4515.4
275,4509.27
275.5,4507.74
276,4503.88
276.5,4499.2
277,4504.45
277.5,4504.05
278,4494.14
278.5,4487.05
279,4483.36
279.5,4479.72
280,4477.73
280.5,4479.94
281,4482.99
281.5,4484.96
282,4483.94
282.5,4487.89
283,4494.52
283.5,4492.7
284,4490.77
284.5,4489.91
285,4489.22
285.5,4484.48
286,4483.41
286.5,4487.14
287,4481.62
287.5,4478.98
288,4483.51
288.5,4482.94
289,4483.22
289.5,4485.74
290,4484.22
290.5,4485.71
291,4485.86
291.5,4481.32
292,4478.13
292.5,4476.15
293,4479.8
293.5,4485.96
294,4486.98
294.5,4482.45
295,4479.41
295.5,4480.24
296,4483.35
296.5,4486.65
297,4485.77
297.5,4485.37
298,4485.67
298.5,4487.31
299,4490.58
299.5,4489.07
300,4489.7
300.5,4493.93
301,4492.43
301.5,4483.23
302,4474.9
302.5,4479.79
303,4487.67
303.5,4488.42
304,4488.31
304.5,4489.71
305,4488.44
305.5,4487.34
306,4486.84
306.5,4485.52
307,4484.74
307.5,4487.45
308,4489.6
308.5,4487.6
309,4489.37
309.5,4491.8
310,4489.21
310.5,4489.53
311,4493.15
311.5,4497.3
312,4500.71
312.5,4504.14
313,4509.86
313.5,4512.43
314,4513.2
314.5,4511.85
315,4512.44
315.5,4522.09
316,4525.63
316.5,4522.58
317,4519.57
317.5,4517.47
318,4523.12
318.5,4526.13
319,4526.86
319.5,4530.95
320,4532.53
320.5,4531.7
321,4530.71
321.5,4531.89
322,4529.48
322.5,4523.78
323,4523
323.5,4525.71
324,4524.2
324.5,4518.31
325,4515.21
325.5,4518.41
326,4515.79
326.5,4510.99
327,4514.34
327.5,4515.26
328,4513.39
328.5,4512.64
329,4513.49
329.5,4517.91
330,4514.12
330.5,4507.75
331,4508.15
331.5,4510.43
332,4516.61
332.5,4518.69
333,4516.48
333.5,4512.29
334,4514.03
334.5,4513.62
335,4503.45
335.5,4495.43
336,4491.82
336.5,4487.9
337,4487.81
337.5,4495.96
338,4503.58
338.5,4501.38
339,4496.28
339.5,4502.54
340,4509.67
340.5,4511.36
341,4509.44
341.5,4506.91
342,4504.15
342.5,4498.42
343,4490.11
343.5,4484.15
344,4494
344.5,4504.98
345,4497.43
345.5,4486.54
346,4484.45
346.5,4485.74
347,4493.32
347.5,4492.62
348,4486
348.5,4486.66
349,4483.65
349.5,4479
350,4479.79
350.5,4475.23
351,4467.14
351.5,4468.82
352,4476.63
352.5,4486.35
353,4487.6
353.5,4477.68
354,4470.58
354.5,4470.41
355,4474.53
